ticker,market,name
VIX,指数,
RSP,美股,
QQQ,美股,
SPY,美股,
GLD,美股,
XLP,美股,
IWM,美股,
AAPL,美股,
MSFT,美股,
XOM,美股,
GOOG,美股,
GOOGL,美股,
AMZN,美股,
NVDA,美股,
WMT,美股,
GE,美股,
CSCW,美股,
CVX,美股,
PG,美股,
IBM,美股,
AVGO,美股,
TSM,美股,
TSLA,美股,
INTC,美股,
T,美股,
PFE,美股,
CSCO,美股,
C,美股,
META,美股,
CRCL,美股,
OKLO,美股,
MU,美股,
TMF,美股,
ORCL,美股,
BABA,美股,
PDD,美股,
NTES,美股,
HOOD,美股,
SNDK,美股,
SLV,美股,
AGQ,美股,
UGL,美股,
TCEHY,美股,
AMD,美股,
BIDU,美股,
BILI,美股,
JD,美股,
NIO,美股,
XPEV,美股,
PLTR,美股,
TQQQ,美股,
XLE,美股,
CRM,美股,
WMT,美股,
UNH,美股,
LLY,美股,
ASML,美股,
COST,美股,
510300,A股ETF,华泰柏瑞沪深300ETF
510500,A股ETF,南方中证500ETF
510050,A股ETF,华夏上证50ETF
512100,A股ETF,华夏中证1000ETF
159915,A股ETF,易方达创业板ETF
588000,A股ETF,华夏科创50ETF
518880,A股ETF,华安黄金ETF
159941,A股ETF,广发纳指100ETF
513630,A股ETF,摩根标普港股通低波红利ETF
159813,A股ETF,芯片ETF
