date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2008-12-04 00:00:00,22.8,23.1,22.8,22.89,3825,45.6,46.2,45.6,45.78,1912,0.0,1.0
2008-12-05 00:00:00,22.74,22.83,21.6,22.07,11644,45.48,45.66,43.2,44.14,5822,0.0,1.0
2008-12-08 00:00:00,25.55,27.14,24.8601,26.12,11176,51.1,54.28,49.7202,52.24,5588,0.0,1.0
2008-12-09 00:00:00,24.47,25.01,24.03,24.18,14747,48.94,50.02,48.06,48.36,7373,0.0,1.0
2008-12-10 00:00:00,26.42,26.52,25.7,26.05,21460,52.84,53.04,51.4,52.1,10730,0.0,1.0
2008-12-11 00:00:00,27.0,28.01,26.92,27.62,38484,54.0,56.02,53.84,55.24,19242,0.0,1.0
2008-12-12 00:00:00,26.38,26.86,25.58,25.87,11185,52.76,53.72,51.16,51.74,5592,0.0,1.0
2008-12-15 00:00:00,28.56,28.88,26.76,26.83,28918,57.12,57.76,53.52,53.66,14459,0.0,1.0
2008-12-16 00:00:00,31.26,33.74,28.0,28.34,52898,62.52,67.48,56.0,56.68,26449,0.0,1.0
2008-12-17 00:00:00,32.75,33.72,31.5,31.5,91467,65.5,67.44,63.0,63.0,45733,0.0,1.0
2008-12-18 00:00:00,30.18,31.62,29.75,31.42,75172,60.36,63.24,59.5,62.84,37586,0.0,1.0
2008-12-19 00:00:00,29.47,30.0,29.1,29.52,23138,58.94,60.0,58.2,59.04,11569,0.0,1.0
2008-12-22 00:00:00,29.1,29.8,28.95,29.76,12555,58.2,59.6,57.9,59.52,6277,0.0,1.0
2008-12-23 00:00:00,26.38,28.65,25.39,28.19,49024,52.76,57.3,50.78,56.38,24512,0.0,1.0
2008-12-24 00:00:00,26.797,26.9799,25.69,25.69,6200,53.594,53.9598,51.38,51.38,3100,0.0,1.0
2008-12-26 00:00:00,28.72,28.72,26.54,26.86,7582,57.44,57.44,53.08,53.72,3791,0.0,1.0
2008-12-29 00:00:00,29.0,30.96,28.85,30.96,50967,58.0,61.92,57.7,61.92,25483,0.0,1.0
2008-12-30 00:00:00,29.43,30.41,29.08,29.33,67867,58.86,60.82,58.16,58.66,33933,0.0,1.0
