date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2005-08-05 00:00:00,122.54,151.21,60.0,66.0,22681100,12.254,15.121,6.0,6.6,226811000,0.0,1.0
2005-08-08 00:00:00,115.5,153.98,115.24,137.75,15488900,11.55,15.398,11.524,13.775,154889000,0.0,1.0
2005-08-09 00:00:00,96.1,125.3,95.69,120.5,8667700,9.61,12.53,9.569,12.05,86677000,0.0,1.0
2005-08-10 00:00:00,91.75,103.5,88.3,101.0,4963800,9.175,10.35,8.83,10.1,49638000,0.0,1.0
2005-08-11 00:00:00,97.9,100.5,90.6,91.2,7324800,9.79,10.05,9.06,9.12,73248000,0.0,1.0
2005-08-12 00:00:00,95.0,99.75,94.58,98.0,2994900,9.5,9.975,9.458,9.8,29949000,0.0,1.0
2005-08-15 00:00:00,93.0,97.98,92.5,96.75,1929000,9.3,9.798,9.25,9.675,19290000,0.0,1.0
2005-08-16 00:00:00,91.51,95.61,90.8,93.89,1857900,9.151,9.561,9.08,9.389,18579000,0.0,1.0
2005-08-17 00:00:00,85.81,92.99,85.11,92.79,2016600,8.581,9.299,8.511,9.279,20166000,0.0,1.0
2005-08-18 00:00:00,82.48,88.36,81.65,88.15,2216600,8.248,8.836,8.165,8.815,22166000,0.0,1.0
2005-08-19 00:00:00,79.55,84.86,79.39,82.1,1818800,7.955,8.486,7.939,8.21,18188000,0.0,1.0
2005-08-22 00:00:00,72.69,80.33,72.13,79.0,2517100,7.269,8.033,7.213,7.9,25171000,0.0,1.0
2005-08-23 00:00:00,82.0,82.0,71.54,71.7,6657400,8.2,8.2,7.154,7.17,66574000,0.0,1.0
2005-08-24 00:00:00,77.8,85.0,75.0,77.53,8765100,7.78,8.5,7.5,7.753,87651000,0.0,1.0
2005-08-25 00:00:00,79.0,81.4,78.02,79.67,2696500,7.9,8.14,7.802,7.967,26965000,0.0,1.0
2005-08-26 00:00:00,78.88,81.85,78.31,79.15,2468300,7.888,8.185,7.831,7.915,24683000,0.0,1.0
2005-08-29 00:00:00,78.6,80.64,77.62,78.8,1339200,7.86,8.064,7.762,7.88,13392000,0.0,1.0
2005-08-30 00:00:00,81.0,84.17,80.62,81.42,3813200,8.1,8.417,8.062,8.142,38132000,0.0,1.0
2005-08-31 00:00:00,81.0,82.65,80.5,81.8,1088400,8.1,8.265,8.05,8.18,10884000,0.0,1.0
2005-09-01 00:00:00,78.92,81.95,78.51,81.2,1067300,7.892,8.195,7.851,8.12,10673000,0.0,1.0
2005-09-02 00:00:00,78.02,80.2,76.5,80.08,731300,7.802,8.02,7.65,8.008,7313000,0.0,1.0
2005-09-06 00:00:00,77.8,79.37,77.01,78.98,712200,7.78,7.937,7.701,7.898,7122000,0.0,1.0
2005-09-07 00:00:00,82.58,83.7,77.3,78.3,4039400,8.258,8.37,7.73,7.83,40394000,0.0,1.0
2005-09-08 00:00:00,83.54,84.5,81.57,82.0,2508100,8.354,8.45,8.157,8.2,25081000,0.0,1.0
2005-09-09 00:00:00,96.3,97.85,83.48,84.0,5902200,9.63,9.785,8.348,8.4,59022000,0.0,1.0
2005-09-12 00:00:00,112.25,115.28,99.8,100.34,18177400,11.225,11.528,9.98,10.034,181774000,0.0,1.0
2005-09-13 00:00:00,113.59,122.5,108.51,113.89,16118500,11.359,12.25,10.851,11.389,161185000,0.0,1.0
2005-09-14 00:00:00,81.32,94.21,80.99,87.22,16660700,8.132,9.421,8.099,8.722,166607000,0.0,1.0
2005-09-15 00:00:00,82.0,86.94,80.01,83.6,7783300,8.2,8.694,8.001,8.36,77833000,0.0,1.0
2005-09-16 00:00:00,78.35,84.27,77.68,82.9,4988600,7.835,8.427,7.768,8.29,49886000,0.0,1.0
2005-09-19 00:00:00,79.53,82.94,77.73,78.04,3886000,7.953,8.294,7.773,7.804,38860000,0.0,1.0
2005-09-20 00:00:00,80.5,82.96,79.55,80.77,2351100,8.05,8.296,7.955,8.077,23511000,0.0,1.0
2005-09-21 00:00:00,80.3,81.12,78.59,79.6,2052000,8.03,8.112,7.859,7.96,20520000,0.0,1.0
2005-09-22 00:00:00,79.19,82.25,78.97,80.52,1857900,7.919,8.225,7.897,8.052,18579000,0.0,1.0
2005-09-23 00:00:00,79.15,80.29,78.79,79.94,971300,7.915,8.029,7.879,7.994,9713000,0.0,1.0
2005-09-26 00:00:00,77.28,80.89,76.14,80.8,2042000,7.728,8.089,7.614,8.08,20420000,0.0,1.0
2005-09-27 00:00:00,72.5,78.19,71.73,77.25,3183100,7.25,7.819,7.173,7.725,31831000,0.0,1.0
2005-09-28 00:00:00,65.71,73.0,65.12,72.62,4797800,6.571,7.3,6.512,7.262,47978000,0.0,1.0
2005-09-29 00:00:00,65.0,68.98,63.76,65.9,3179500,6.5,6.898,6.376,6.59,31795000,0.0,1.0
2005-09-30 00:00:00,64.02,66.25,63.35,65.0,1528400,6.402,6.625,6.335,6.5,15284000,0.0,1.0
2005-10-03 00:00:00,66.11,66.98,63.8,64.44,2034600,6.611,6.698,6.38,6.444,20346000,0.0,1.0
2005-10-04 00:00:00,70.39,73.25,68.12,68.5,3900300,7.039,7.325,6.812,6.85,39003000,0.0,1.0
2005-10-05 00:00:00,68.3,74.37,68.18,73.33,3191900,6.83,7.437,6.818,7.333,31919000,0.0,1.0
2005-10-06 00:00:00,68.26,70.08,66.8,70.01,1172600,6.826,7.008,6.68,7.001,11726000,0.0,1.0
2005-10-07 00:00:00,67.2,69.5,66.59,69.0,924100,6.72,6.95,6.659,6.9,9241000,0.0,1.0
2005-10-10 00:00:00,65.45,67.7,64.48,67.7,810800,6.545,6.77,6.448,6.77,8108000,0.0,1.0
2005-10-11 00:00:00,65.25,66.29,64.29,65.77,687600,6.525,6.629,6.429,6.577,6876000,0.0,1.0
2005-10-12 00:00:00,63.6,65.79,63.1,65.44,836300,6.36,6.579,6.31,6.544,8363000,0.0,1.0
2005-10-13 00:00:00,62.22,63.74,60.08,63.45,881800,6.222,6.374,6.008,6.345,8818000,0.0,1.0
2005-10-14 00:00:00,67.27,67.8,63.21,63.42,1327100,6.727,6.78,6.321,6.342,13271000,0.0,1.0
2005-10-17 00:00:00,66.6,68.2,64.644,68.0,1151800,6.66,6.82,6.4644,6.8,11518000,0.0,1.0
2005-10-18 00:00:00,67.37,70.09,65.3,66.5,1433500,6.737,7.009,6.53,6.65,14335000,0.0,1.0
2005-10-19 00:00:00,65.8,67.77,65.03,67.77,1063400,6.58,6.777,6.503,6.777,10634000,0.0,1.0
2005-10-20 00:00:00,66.0,68.49,65.52,65.56,812500,6.6,6.849,6.552,6.556,8125000,0.0,1.0
2005-10-21 00:00:00,70.0,72.95,69.25,70.6,1808600,7.0,7.295,6.925,7.06,18086000,0.0,1.0
2005-10-24 00:00:00,80.99,83.0,71.2,73.05,4682100,8.099,8.3,7.12,7.305,46821000,0.0,1.0
2005-10-25 00:00:00,79.81,89.7,74.57,84.44,6054100,7.981,8.97,7.457,8.444,60541000,0.0,1.0
