date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1980-01-02 00:00:00,62.5,64.5,62.5,63.0,412000,5.5222843494,5.6989974486,5.5222843494,5.5664626242,1723808,0.0,1.0
1980-01-03 00:00:00,63.5,63.5,61.25,62.5,610300,5.610640899,5.610640899,5.4118386624,5.5222843494,2553495,0.0,1.0
1980-01-04 00:00:00,63.38,63.75,63.0,63.5,472800,5.6000381131,5.6327300364,5.5664626242,5.610640899,1978195,0.0,1.0
1980-01-07 00:00:00,63.13,63.38,62.63,63.38,353900,5.5779489757,5.6000381131,5.5337707009,5.6000381131,1480717,0.0,1.0
1980-01-08 00:00:00,67.37,67.5,62.63,63.13,709400,5.9525807459,5.9640670974,5.5337707009,5.5779489757,2968129,0.0,1.0
1980-01-09 00:00:00,65.37,68.0,65.37,67.37,808000,5.7758676467,6.0082453722,5.7758676467,5.9525807459,3380672,0.0,1.0
1980-01-10 00:00:00,67.5,67.75,66.0,66.0,530400,5.9640670974,5.9861562348,5.831532273,5.831532273,2219193,0.0,1.0
1980-01-11 00:00:00,67.0,68.25,65.62,67.5,545000,5.9198888226,6.0303345096,5.7979567841,5.9640670974,2280280,0.0,1.0
1980-01-14 00:00:00,66.87,67.25,66.25,67.0,397700,5.9084024711,5.94197796,5.8536214104,5.9198888226,1663976,0.0,1.0
1980-01-15 00:00:00,70.12,70.25,66.5,66.87,937500,6.1955612573,6.2070476088,5.8757105478,5.9084024711,3922500,0.0,1.0
1980-01-16 00:00:00,70.0,70.87,69.75,70.12,1502000,6.1849584714,6.2618286695,6.162869334,6.1955612573,6284368,0.0,1.0
1980-01-17 00:00:00,69.25,70.37,69.25,70.0,613000,6.1186910592,6.2176503947,6.1186910592,6.1849584714,2564792,0.0,1.0
1980-01-18 00:00:00,69.62,69.75,68.62,69.25,653100,6.1513829825,6.162869334,6.0630264329,6.1186910592,2732570,0.0,1.0
1980-01-21 00:00:00,69.0,69.87,69.0,69.62,372200,6.0966019218,6.1734721199,6.0966019218,6.1513829825,1557284,0.0,1.0
1980-01-22 00:00:00,69.0,69.87,69.0,69.0,422100,6.0966019218,6.1734721199,6.0966019218,6.0966019218,1766066,0.0,1.0
1980-01-23 00:00:00,71.25,71.25,69.0,69.0,530200,6.2954041583,6.2954041583,6.0966019218,6.0966019218,2218356,0.0,1.0
1980-01-24 00:00:00,70.62,71.5,70.12,71.25,547600,6.2397395321,6.3174932957,6.1955612573,6.2954041583,2291158,0.0,1.0
1980-01-25 00:00:00,70.12,70.75,69.87,70.62,335900,6.1955612573,6.2512258835,6.1734721199,6.2397395321,1405405,0.0,1.0
1980-01-28 00:00:00,71.0,72.0,70.12,70.12,364000,6.2733150209,6.3616715705,6.1955612573,6.1955612573,1522976,0.0,1.0
1980-01-29 00:00:00,70.37,71.37,69.37,71.0,357700,6.2176503947,6.3060069443,6.1292938451,6.2733150209,1496616,0.0,1.0
1980-01-30 00:00:00,70.37,70.62,69.62,70.37,347100,6.2176503947,6.2397395321,6.1513829825,6.2176503947,1452266,0.0,1.0
1980-01-31 00:00:00,68.62,71.12,68.25,70.37,586000,6.0630264329,6.2839178069,6.0303345096,6.2176503947,2451824,0.0,1.0
1980-02-01 00:00:00,69.37,69.5,68.37,68.62,361700,6.1292938451,6.1407801966,6.0409372955,6.0630264329,1513352,0.0,1.0
1980-02-04 00:00:00,69.12,69.62,68.62,69.37,288200,6.1072047077,6.1513829825,6.0630264329,6.1292938451,1205828,0.0,1.0
1980-02-05 00:00:00,69.62,69.62,68.75,69.12,381400,6.1513829825,6.1513829825,6.0745127844,6.1072047077,1595777,0.0,1.0
1980-02-06 00:00:00,68.37,69.0,67.75,69.0,509800,6.0409372955,6.0966019218,5.9861562348,6.0966019218,2133003,0.0,1.0
1980-02-07 00:00:00,67.12,68.25,67.12,68.25,512800,5.9304916085,6.0303345096,5.9304916085,6.0303345096,2145555,0.0,1.0
1980-02-08 00:00:00,67.25,67.62,66.25,67.12,628900,5.94197796,5.9746698833,5.8536214104,5.9304916085,2631317,0.0,1.0
