date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1980-01-02 00:00:00,58.0,59.75,58.0,59.62,72100,1.299106804,1.3383039921,1.299106804,1.335392201,1153600,0.0,1.0
1980-01-03 00:00:00,58.0,58.12,56.62,58.0,68500,1.299106804,1.3017946112,1.2681970214,1.299106804,1096000,0.0,1.0
1980-01-04 00:00:00,58.12,58.62,57.75,58.0,39700,1.3017946112,1.3129938078,1.2935072057,1.299106804,635200,0.0,1.0
1980-01-07 00:00:00,58.5,58.62,58.0,58.12,66300,1.3103060006,1.3129938078,1.299106804,1.3017946112,1060800,0.0,1.0
1980-01-08 00:00:00,60.75,60.75,59.0,59.0,95500,1.3607023852,1.3607023852,1.3215051972,1.3215051972,1528000,0.0,1.0
1980-01-09 00:00:00,59.75,65.38,59.75,60.75,90100,1.3383039921,1.4644069456,1.3383039921,1.3607023852,1441600,0.0,1.0
1980-01-10 00:00:00,59.62,59.75,59.12,59.75,77800,1.335392201,1.3383039921,1.3241930044,1.3383039921,1244800,0.0,1.0
1980-01-11 00:00:00,59.62,59.75,59.25,59.62,53400,1.335392201,1.3383039921,1.3271047955,1.335392201,854400,0.0,1.0
1980-01-14 00:00:00,59.62,60.0,59.5,59.62,43300,1.335392201,1.3439035904,1.3327043938,1.335392201,692800,0.0,1.0
1980-01-15 00:00:00,59.12,59.62,58.88,59.62,55400,1.3241930044,1.335392201,1.31881739,1.335392201,886400,0.0,1.0
1980-01-16 00:00:00,58.0,59.0,58.0,59.0,247700,1.299106804,1.3215051972,1.299106804,1.3215051972,3963200,0.0,1.0
1980-01-17 00:00:00,57.38,58.12,57.38,58.0,58800,1.2852198003,1.3017946112,1.2852198003,1.299106804,940800,0.0,1.0
1980-01-18 00:00:00,55.62,57.25,55.62,57.25,177700,1.2457986283,1.2823080091,1.2457986283,1.2823080091,2843200,0.0,1.0
1980-01-21 00:00:00,56.12,56.75,56.12,56.12,152000,1.2569978249,1.2711088126,1.2569978249,1.2569978249,2432000,0.0,1.0
1980-01-22 00:00:00,56.75,56.75,56.12,56.12,72700,1.2711088126,1.2711088126,1.2569978249,1.2569978249,1163200,0.0,1.0
1980-01-23 00:00:00,58.0,58.0,57.38,57.38,75300,1.299106804,1.299106804,1.2852198003,1.2852198003,1204800,0.0,1.0
1980-01-24 00:00:00,57.25,58.5,56.88,58.0,65800,1.2823080091,1.3103060006,1.2740206037,1.299106804,1052800,0.0,1.0
1980-01-25 00:00:00,56.75,57.12,56.25,57.12,36400,1.2711088126,1.279396218,1.259909616,1.279396218,582400,0.0,1.0
1980-01-28 00:00:00,56.88,56.88,56.38,56.75,39800,1.2740206037,1.2740206037,1.2628214071,1.2711088126,636800,0.0,1.0
1980-01-29 00:00:00,56.75,57.38,56.25,56.88,61800,1.2711088126,1.2852198003,1.259909616,1.2740206037,988800,0.0,1.0
