date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-07-08 00:00:00,9.98,10.04,9.97,10.0,15054506,9.98,10.04,9.97,10.0,15054506,0.0,1.0
2021-07-09 00:00:00,10.05,10.05,9.98,9.98,1529356,10.05,10.05,9.98,9.98,1529356,0.0,1.0
2021-07-12 00:00:00,10.05,10.05,10.0,10.0,1030741,10.05,10.05,10.0,10.0,1030741,0.0,1.0
2021-07-13 00:00:00,10.01,10.0319,10.01,10.02,137732,10.01,10.0319,10.01,10.02,137732,0.0,1.0
2021-07-14 00:00:00,9.97,10.0,9.97,10.0,129348,9.97,10.0,9.97,10.0,129348,0.0,1.0
2021-07-15 00:00:00,9.99,10.02,9.9466,9.9466,51822,9.99,10.02,9.9466,9.9466,51822,0.0,1.0
2021-07-16 00:00:00,9.97,9.985,9.9,9.97,158617,9.97,9.985,9.9,9.97,158617,0.0,1.0
2021-07-19 00:00:00,9.86,9.935,9.86,9.9,1049551,9.86,9.935,9.86,9.9,1049551,0.0,1.0
2021-07-20 00:00:00,9.85,9.89,9.8301,9.86,1085276,9.85,9.89,9.8301,9.86,1085276,0.0,1.0
2021-07-21 00:00:00,9.8792,9.9,9.8617,9.9,17201,9.8792,9.9,9.8617,9.9,17201,0.0,1.0
2021-07-22 00:00:00,9.87,9.9,9.87,9.9,3707,9.87,9.9,9.87,9.9,3707,0.0,1.0
2021-07-23 00:00:00,9.8788,9.89,9.8788,9.89,8365,9.8788,9.89,9.8788,9.89,8365,0.0,1.0
2021-07-26 00:00:00,9.85,9.8632,9.85,9.86,9518,9.85,9.8632,9.85,9.86,9518,0.0,1.0
2021-07-27 00:00:00,9.85,9.88,9.8,9.8,23168,9.85,9.88,9.8,9.8,23168,0.0,1.0
2021-07-28 00:00:00,9.85,9.89,9.85,9.86,13920,9.85,9.89,9.85,9.86,13920,0.0,1.0
2021-07-29 00:00:00,9.85,9.8616,9.82,9.8616,3715,9.85,9.8616,9.82,9.8616,3715,0.0,1.0
2021-07-30 00:00:00,9.85,9.86,9.81,9.86,8034,9.85,9.86,9.81,9.86,8034,0.0,1.0
2021-08-02 00:00:00,9.89,9.9,9.8472,9.9,7405,9.89,9.9,9.8472,9.9,7405,0.0,1.0
2021-08-03 00:00:00,9.88,9.91,9.86,9.91,12136,9.88,9.91,9.86,9.91,12136,0.0,1.0
2021-08-04 00:00:00,9.88,9.88,9.85,9.85,32791,9.88,9.88,9.85,9.85,32791,0.0,1.0
2021-08-05 00:00:00,9.95,9.97,9.85,9.85,646508,9.95,9.97,9.85,9.85,646508,0.0,1.0
2021-08-06 00:00:00,9.91,9.91,9.873,9.8818,31798,9.91,9.91,9.873,9.8818,31798,0.0,1.0
2021-08-09 00:00:00,9.89,9.9,9.89,9.9,1157,9.89,9.9,9.89,9.9,1157,0.0,1.0
2021-08-10 00:00:00,9.95,9.95,9.909,9.909,4462,9.95,9.95,9.909,9.909,4462,0.0,1.0
2021-08-11 00:00:00,9.95,9.95,9.91,9.95,12674,9.95,9.95,9.91,9.95,12674,0.0,1.0
2021-08-12 00:00:00,9.85,9.93,9.8,9.88,1760060,9.85,9.93,9.8,9.88,1760060,0.0,1.0
2021-08-13 00:00:00,9.87,9.87,9.8,9.8,1886,9.87,9.87,9.8,9.8,1886,0.0,1.0
2021-08-16 00:00:00,9.84,9.87,9.79,9.79,22096,9.84,9.87,9.79,9.79,22096,0.0,1.0
2021-08-17 00:00:00,9.84,9.855,9.83,9.83,1305,9.84,9.855,9.83,9.83,1305,0.0,1.0
2021-08-18 00:00:00,9.84,9.86,9.82,9.83,14601,9.84,9.86,9.82,9.83,14601,0.0,1.0
2021-08-19 00:00:00,9.86,9.86,9.86,9.86,106,9.86,9.86,9.86,9.86,106,0.0,1.0
2021-08-20 00:00:00,9.83,9.86,9.8,9.83,4093,9.83,9.86,9.8,9.83,4093,0.0,1.0
2021-08-23 00:00:00,9.83,9.83,9.82,9.8211,3147,9.83,9.83,9.82,9.8211,3147,0.0,1.0
2021-08-24 00:00:00,9.75,9.8,9.5,9.74,8161,9.75,9.8,9.5,9.74,8161,0.0,1.0
2021-08-25 00:00:00,9.78,9.79,9.65,9.66,9065,9.78,9.79,9.65,9.66,9065,0.0,1.0
2021-08-26 00:00:00,9.77,9.78,9.7575,9.78,860,9.77,9.78,9.7575,9.78,860,0.0,1.0
2021-08-27 00:00:00,9.84,9.84,9.69,9.69,7781,9.84,9.84,9.69,9.69,7781,0.0,1.0
2021-08-30 00:00:00,9.83,9.83,9.77,9.77,2102,9.83,9.83,9.77,9.77,2102,0.0,1.0
2021-08-31 00:00:00,9.83,9.83,9.83,9.83,99,9.83,9.83,9.83,9.83,99,0.0,1.0
2021-09-01 00:00:00,9.83,9.83,9.83,9.83,17,9.83,9.83,9.83,9.83,17,0.0,1.0
