date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1998-12-22 00:00:00,23.27,23.39,23.19,23.31,15200,5.7323270797,5.7618878553,5.7126198959,5.7421806716,30400,0.0,1.0
1998-12-23 00:00:00,23.75,23.75,23.31,23.34,67800,5.8505701823,5.8505701823,5.7421806716,5.7495708655,135600,0.0,1.0
1998-12-24 00:00:00,23.63,23.81,23.59,23.81,12300,5.8210094067,5.8653505701,5.8111558148,5.8653505701,24600,0.0,1.0
1998-12-28 00:00:00,23.5,23.75,23.34,23.75,13500,5.788985233,5.8505701823,5.7495708655,5.8505701823,27000,0.0,1.0
1998-12-29 00:00:00,23.73,23.73,23.34,23.56,22000,5.8456433864,5.8456433864,5.7495708655,5.8037656209,44000,0.0,1.0
1998-12-30 00:00:00,23.38,23.72,23.36,23.72,21800,5.7594244574,5.8431799884,5.7544976614,5.8431799884,43600,0.0,1.0
1998-12-31 00:00:00,23.34,23.34,23.22,23.34,13000,5.7495708655,5.7495708655,5.7200100898,5.7495708655,26000,0.0,1.0
1999-01-04 00:00:00,23.33,23.75,23.28,23.28,28600,5.7471074675,5.8505701823,5.7347904777,5.7347904777,57200,0.0,1.0
1999-01-05 00:00:00,23.2,23.47,23.17,23.47,42700,5.7150832939,5.7815950391,5.7076931,5.7815950391,85400,0.0,1.0
1999-01-06 00:00:00,23.97,24.0,23.31,23.47,56400,5.9047649377,5.9121551316,5.7421806716,5.7815950391,112800,0.0,1.0
1999-01-07 00:00:00,23.86,23.98,23.58,23.97,72600,5.87766756,5.9072283357,5.8086924168,5.9047649377,145200,0.0,1.0
1999-01-08 00:00:00,23.97,24.56,23.38,24.0,421100,5.9047649377,6.050105418,5.7594244574,5.9121551316,842200,0.0,1.0
1999-01-11 00:00:00,23.52,23.78,23.44,23.75,35000,5.793912029,5.8579603762,5.7742048452,5.8505701823,70000,0.0,1.0
1999-01-12 00:00:00,23.16,23.59,23.13,23.5,89200,5.705229702,5.8111558148,5.6978395081,5.788985233,178400,0.0,1.0
1999-01-13 00:00:00,22.81,23.19,22.69,22.75,42400,5.619010773,5.7126198959,5.5894499973,5.6042303852,84800,0.0,1.0
1999-01-14 00:00:00,22.38,22.88,22.38,22.75,70000,5.5130846602,5.6362545588,5.5130846602,5.6042303852,140000,0.0,1.0
1999-01-15 00:00:00,22.72,22.75,22.45,22.56,10700,5.5968401913,5.6042303852,5.530328446,5.5574258237,21400,0.0,1.0
1999-01-19 00:00:00,22.72,22.81,22.53,22.81,12800,5.5968401913,5.619010773,5.5500356298,5.619010773,25600,0.0,1.0
1999-01-20 00:00:00,22.53,22.81,22.52,22.59,15800,5.5500356298,5.619010773,5.5475722318,5.5648160176,31600,0.0,1.0
1999-01-21 00:00:00,22.72,22.91,22.5,22.53,23900,5.5968401913,5.6436447527,5.5426454359,5.5500356298,47800,0.0,1.0
1999-01-22 00:00:00,22.59,22.81,22.56,22.75,19300,5.5648160176,5.619010773,5.5574258237,5.6042303852,38600,0.0,1.0
